loss,weight_order,prod_distance_order,time_delivery_order,lambda
9210810430,2,2,3,0.8,616587.3831232392 91140.18844158063 -7691.5057152359095 -4881.806812794255 28659.323624444492 -3062.358237213631 3912.109891727471 1074.7229700481626
9210810431,2,2,3,1.0,616587.3821838243 91140.18846689783 -7691.505451129967 -4881.8068400020675 28659.32376301036 -3062.3478931883965 3912.1102680675767 1074.7179469973476
9399083134,2,2,4,0.0,592305.3153576575 91243.2068989714 -7676.907113376221 -5134.882466263041 28352.531681906756 -1965.1886365077362 78882.92826135326 629.8247014159291 -28126.21626597592
9399083186,2,2,4,0.2,592305.3083313846 91243.20677309197 -7676.905603850376 -5134.882385849822 28352.532775536503 -1965.230997737315 78882.93706930584 629.845272579593 -28126.219231785995
9399083957,2,2,4,0.4,592305.2467353698 91243.20704746465 -7676.901907199321 -5134.882988718349 28352.534468101203 -1965.1898725142096 78883.08966109448 629.8254654337753 -28126.27437460727
9399082780,2,2,4,0.6,592305.3414890012 91243.20668794314 -7676.9078204577545 -5134.882121016329 28352.531638589007 -1965.232352138926 78882.85680910683 629.8458471809435 -28126.190262130076
9399083540,2,2,4,0.8,592305.2821196314 91243.20694230721 -7676.904922200074 -5134.882691338946 28352.532855699785 -1965.203069647222 78883.00881976356 629.8317923611642 -28126.245366447707
9399083104,2,2,4,1.0,592305.3175282513 91243.2068713839 -7676.907182287757 -5134.882427909673 28352.53168467141 -1965.1960758001098 78882.92237190237 629.8283068526176 -28126.21412873683
9271608904,2,3,1,0.0,626969.2567198871 91141.7005810785 -10424.317075034573 -30240.22774659221 26507.798669839165 12654.430026836353 -617.9770375478261
9271609138,2,3,1,0.2,626969.2597908489 91141.70059027533 -10424.318304107648 -30240.26970634328 26507.797211840272 12654.447715087512 -617.9765741218199
9271609100,2,3,1,0.4,626969.2601209583 91141.70059461151 -10424.318478050878 -30240.263184530286 26507.79719881767 12654.44496904959 -617.9766364981771
9271609103,2,3,1,0.6,626969.2605515267 91141.70059745984 -10424.318669858549 -30240.263928897828 26507.797061333753 12654.44528435395 -617.9766237798791
9271608879,2,3,1,0.8,626969.2575193023 91141.70058803783 -10424.317452027335 -30240.22362361779 26507.79848628846 12654.428293218165 -617.9770699184048
9271609071,2,3,1,1.0,626969.2601848072 91141.70059658604 -10424.318525887824 -30240.258181496367 26507.797245043403 12654.44286173777 -617.9766866127019
9291578094,2,3,2,0.0,617211.0318765015 91116.48933974066 -7914.418859820211 -29997.554490370014 28150.74646763327 12535.711732304442 -681.9661389298508 3962.2721457167586
9291578088,2,3,2,0.2,617211.0313714738 91116.48933809515 -7914.418704413328 -29997.55315376889 28150.746589839302 12535.711168034039 -681.9661566028254 3962.272287927699
9291578297,2,3,2,0.4,617211.0375552042 91116.48935369433 -7914.420620231858 -29997.593606866227 28150.744713181357 12535.728225339979 -681.96569212825 3962.2707552940165
9291578137,2,3,2,0.6,617211.0271138158 91116.48932101588 -7914.417404348538 -29997.55919514921 28150.74734698657 12535.713703637475 -681.9661272707443 3962.2736373474777
9291578114,2,3,2,0.8,617211.0285671733 91116.48932706568 -7914.417847515157 -29997.55597385763 28150.747106834802 12535.712349784615 -681.96614922024 3962.273166692144
9291578311,2,3,2,1.0,617211.033408016 91116.48933816676 -7914.419350494851 -29997.593537351604 28150.74554464933 12535.728186621065 -681.9657248911916 3962.27201798009
9291827701,2,3,3,0.0,617132.7721245277 91109.79230151385 -7886.1755811368785 -29985.42539119235 28177.267789512855 12531.822157294968 -2881.109173791854 3967.8665192692415 1105.1011670277815
9291827647,2,3,3,0.2,617132.776444198 91109.79232214997 -7886.176902271664 -29985.418623475285 28177.267026064303 12531.819315150791 -2881.1080879224087 3967.86515427996 1105.100614742305
9291827704,2,3,3,0.4,617132.7780529083 91109.7924067618 -7886.177467092167 -29985.430678545625 28177.26637605091 12531.824381066464 -2881.078938680744 3967.8650205177687 1105.0865166636765
9291827740,2,3,3,0.6,617132.7756131294 91109.79241340957 -7886.176736702279 -29985.435828043177 28177.26675469953 12531.826541606915 -2881.0728739723213 3967.8658608088235 1105.0835921167163
9291827792,2,3,3,0.8,617132.7814703657 91109.79248920342 -7886.178582836259 -29985.449382199982 28177.265272097316 12531.832253764758 -2881.052496684829 3967.864368970333 1105.0737639076979
9291827745,2,3,3,1.0,617132.776643184 91109.79231626095 -7886.17696991444 -29985.436010810303 28177.26671761006 12531.826641709233 -2881.109152052747 3967.865233471748 1105.101207541273
9482155696,2,3,4,0.0,592852.2683319672 91212.67780392563 -7875.4793553799 -30466.350794045185 27864.397663879245 12638.300595107114 -1782.2944141039095 78991.13419955123 660.5308405834212 -28150.0899501937
9482156055,2,3,4,0.2,592852.2410279975 91212.67781357556 -7875.478054545353 -30466.353430407144 27864.39830131134 12638.301627058476 -1782.3206561210377 78991.20407060695 660.5436669870301 -28150.115323000256
9482156243,2,3,4,0.4,592852.245910245 91212.67791586924 -7875.479382399237 -30466.38985714938 27864.396766216287 12638.316966472847 -1782.2851833146333 78991.20072210401 660.5266044577886 -28150.114280954866
